anio,trazabilidad,departamento,tipo,modalidad,contratos,valor,nombre_geojson
2019.0,Departamento único,Caquetá,Prestación de servicios,Mínima cuantía,1,2900000.0,CAQUETA
2019.0,Departamento único,Caquetá,Suministros,Mínima cuantía,9,706990864.0,CAQUETA
2019.0,Departamento único,Caquetá,Suministros,Selección abreviada subasta inversa,3,3211107182.0,CAQUETA
2019.0,Departamento único,Casanare,Consultoría,Concurso de méritos abierto,2,646527952.0,CASANARE
2019.0,Departamento único,Casanare,Interventoría,Mínima cuantía,3,84080735.0,CASANARE
2019.0,Departamento único,Casanare,Obra,Licitación pública Obra Publica,1,2037373920.0,CASANARE
2019.0,Departamento único,Casanare,Obra,Mínima cuantía,4,221596351.0,CASANARE
2019.0,Departamento único,Casanare,Obra,Selección Abreviada de Menor Cuantía,1,257514980.0,CASANARE
2019.0,Departamento único,Cauca,Consultoría,Mínima cuantía,1,42412207.2,CAUCA
2019.0,Departamento único,Cauca,Interventoría,Concurso de méritos abierto,2,2186038322.0,CAUCA
2019.0,Departamento único,Cauca,Obra,Licitación pública Obra Publica,1,3607865717.0,CAUCA
2019.0,Departamento único,Cauca,Obra,Mínima cuantía,2,135063300.0,CAUCA
2019.0,Departamento único,Cauca,Suministros,Mínima cuantía,1,53993989.0,CAUCA
2019.0,Departamento único,Cesar,Interventoría,Concurso de méritos abierto,3,2171438754.0,CESAR
2019.0,Departamento único,Cesar,Prestación de servicios,Contratación directa,1,73800000.0,CESAR
2019.0,Departamento único,Cesar,Prestación de servicios,Mínima cuantía,1,49980000.0,CESAR
2019.0,Departamento único,Chocó,Consultoría,Concurso de méritos abierto,1,323380358.0,CHOCO
2019.0,Departamento único,Chocó,Interventoría,Concurso de méritos abierto,5,6729910709.0,CHOCO
2019.0,Departamento único,Chocó,Obra,Licitación pública Obra Publica,3,7472511236.0,CHOCO
2019.0,Departamento único,Chocó,Obra,Mínima cuantía,2,119451937.73,CHOCO
2019.0,Departamento único,Chocó,Obra,Selección Abreviada de Menor Cuantía,1,86443455.0,CHOCO
2019.0,Departamento único,Cundinamarca,Consultoría,Concurso de méritos abierto,2,621362717.0,CUNDINAMARCA
2019.0,Departamento único,Cundinamarca,Consultoría,Mínima cuantía,1,37032601.0,CUNDINAMARCA
2019.0,Departamento único,Cundinamarca,Interventoría,Mínima cuantía,2,69530900.0,CUNDINAMARCA
2019.0,Departamento único,Cundinamarca,Obra,Mínima cuantía,1,49524018.0,CUNDINAMARCA
2019.0,Departamento único,Cundinamarca,Obra,Selección Abreviada de Menor Cuantía,2,554280374.0,CUNDINAMARCA
2019.0,Departamento único,Córdoba,Consultoría,Concurso de méritos abierto,1,208178600.0,CORDOBA
2019.0,Departamento único,Córdoba,Consultoría,Mínima cuantía,2,73318459.0,CORDOBA
2019.0,Departamento único,Córdoba,Interventoría,Concurso de méritos abierto,7,4684142175.0,CORDOBA
2019.0,Departamento único,Córdoba,Interventoría,Mínima cuantía,1,56240000.0,CORDOBA
2019.0,Departamento único,Córdoba,Obra,Licitación pública,1,4710294325.0,CORDOBA
2019.0,Departamento único,Córdoba,Obra,Licitación pública Obra Publica,17,18355966069.0,CORDOBA
2019.0,Departamento único,Córdoba,Obra,Mínima cuantía,8,427769600.5,CORDOBA
2019.0,Departamento único,Córdoba,Obra,Selección Abreviada de Menor Cuantía,3,630932282.0,CORDOBA
2019.0,Departamento único,Córdoba,Prestación de servicios,Mínima cuantía,2,5209096.0,CORDOBA
